No.,Time,Source,Destination,Protocol,Length,Sequence Number (raw),Acknowledgment number (raw),Acknowledgment Number,Sequence Number,Info
32760,46.346792324,192.168.0.100,128.135.11.239,TCP,158,1535535667.0,0.0,0.0,0.0,"49734  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3550670599 TSecr=0 SACK_PERM"
32763,46.346841089,128.135.11.239,192.168.0.100,TCP,154,3060339316.0,1535535668.0,1.0,0.0,"443  >  49734 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=80184333 TSecr=3550670599 WS=128"
32767,46.347235303,192.168.0.100,128.135.11.239,TCP,134,3382464730.0,0.0,0.0,825.0,49733  >  443 [RST] Seq=825 Win=0 Len=0
32771,46.347782097,192.168.0.100,128.135.11.239,TCP,146,1535535668.0,3060339317.0,1.0,1.0,49734  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=3550670603 TSecr=80184333
32775,46.349786275,192.168.0.100,128.135.11.239,TLSv1.3,865,1535535668.0,3060339317.0,1.0,1.0,Client Hello
32777,46.350680534,128.135.11.239,192.168.0.100,TCP,146,3060339317.0,1535536387.0,720.0,1.0,443  >  49734 [ACK] Seq=1 Ack=720 Win=64512 Len=0 TSval=80184339 TSecr=3550670604
32779,46.352096544,128.135.11.239,192.168.0.100,TLSv1.3,406,3060339317.0,1535536387.0,720.0,1.0,"Server Hello, Change Cipher Spec, Application Data, Application Data"
32783,46.3529045,192.168.0.100,128.135.11.239,TCP,146,1535536387.0,3060339577.0,261.0,720.0,49734  >  443 [ACK] Seq=720 Ack=261 Win=131456 Len=0 TSval=3550670606 TSecr=80184340
32790,46.35619417,192.168.0.100,128.135.11.239,TLSv1.3,226,1535536387.0,3060339577.0,261.0,720.0,"Change Cipher Spec, Application Data"
32791,46.356201708,192.168.0.100,128.135.11.239,TLSv1.3,729,1535536467.0,3060339577.0,261.0,800.0,Application Data
32793,46.35686224,128.135.11.239,192.168.0.100,TCP,146,3060339577.0,1535536467.0,800.0,261.0,443  >  49734 [ACK] Seq=261 Ack=800 Win=64512 Len=0 TSval=80184345 TSecr=3550670606
32797,46.360385914,128.135.11.239,192.168.0.100,TCP,146,3060339577.0,1535537050.0,1383.0,261.0,443  >  49734 [ACK] Seq=261 Ack=1383 Win=64000 Len=0 TSval=80184345 TSecr=3550670606
32798,46.360392388,128.135.11.239,192.168.0.100,TLSv1.3,465,3060339577.0,1535537050.0,1383.0,261.0,Application Data
32799,46.360402353,128.135.11.239,192.168.0.100,TLSv1.3,1594,3060339896.0,1535537050.0,1383.0,580.0,Application Data
32800,46.360406659,128.135.11.239,192.168.0.100,TLSv1.3,1419,3060341344.0,1535537050.0,1383.0,2028.0,"Application Data, Application Data"
32804,46.361300404,192.168.0.100,128.135.11.239,TCP,146,1535537050.0,3060339896.0,580.0,1383.0,49734  >  443 [ACK] Seq=1383 Ack=580 Win=131136 Len=0 TSval=3550670613 TSecr=80184345
32808,46.362152847,192.168.0.100,128.135.11.239,TCP,146,1535537050.0,3060342617.0,3301.0,1383.0,49734  >  443 [ACK] Seq=1383 Ack=3301 Win=128448 Len=0 TSval=3550670613 TSecr=80184347
32820,46.389559571,192.168.0.100,128.135.11.239,TLSv1.3,616,1535537050.0,3060342617.0,3301.0,1383.0,Application Data
32822,46.390125371,128.135.11.239,192.168.0.100,TCP,146,3060342617.0,1535537520.0,1853.0,3301.0,443  >  49734 [ACK] Seq=3301 Ack=1853 Win=64128 Len=0 TSval=80184378 TSecr=3550670641
32826,46.390610046,192.168.0.100,128.135.11.239,TCP,158,2000425227.0,0.0,0.0,0.0,"49735  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2504988623 TSecr=0 SACK_PERM"
32828,46.3915746,128.135.11.239,192.168.0.100,TLSv1.3,1594,3060342617.0,1535537520.0,1853.0,3301.0,Application Data
32832,46.391684834,192.168.0.100,128.135.11.239,TCP,158,3883439901.0,0.0,0.0,0.0,"49736  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=321979770 TSecr=0 SACK_PERM"
32839,46.393669931,128.135.11.239,192.168.0.100,TCP,1594,3060344065.0,1535537520.0,1853.0,4749.0,443  >  49734 [ACK] Seq=4749 Ack=1853 Win=64128 Len=1448 TSval=80184379 TSecr=3550670641 [TCP segment of a reassembled PDU]
32840,46.393685371,128.135.11.239,192.168.0.100,TCP,1594,3060345513.0,1535537520.0,1853.0,6197.0,443  >  49734 [ACK] Seq=6197 Ack=1853 Win=64128 Len=1448 TSval=80184379 TSecr=3550670641 [TCP segment of a reassembled PDU]
32841,46.393693976,128.135.11.239,192.168.0.100,TCP,1594,3060346961.0,1535537520.0,1853.0,7645.0,"443  >  49734 [PSH, ACK] Seq=7645 Ack=1853 Win=64128 Len=1448 TSval=80184379 TSecr=3550670641 [TCP segment of a reassembled PDU]"
32842,46.393698545,128.135.11.239,192.168.0.100,TCP,1594,3060348409.0,1535537520.0,1853.0,9093.0,443  >  49734 [ACK] Seq=9093 Ack=1853 Win=64128 Len=1448 TSval=80184379 TSecr=3550670641 [TCP segment of a reassembled PDU]
32843,46.393704346,128.135.11.239,192.168.0.100,TCP,1594,3060349857.0,1535537520.0,1853.0,10541.0,443  >  49734 [ACK] Seq=10541 Ack=1853 Win=64128 Len=1448 TSval=80184379 TSecr=3550670641 [TCP segment of a reassembled PDU]
32844,46.393710371,128.135.11.239,192.168.0.100,TCP,1594,3060351305.0,1535537520.0,1853.0,11989.0,443  >  49734 [ACK] Seq=11989 Ack=1853 Win=64128 Len=1448 TSval=80184379 TSecr=3550670641 [TCP segment of a reassembled PDU]
32845,46.393718142,128.135.11.239,192.168.0.100,TCP,1594,3060352753.0,1535537520.0,1853.0,13437.0,"443  >  49734 [PSH, ACK] Seq=13437 Ack=1853 Win=64128 Len=1448 TSval=80184379 TSecr=3550670641 [TCP segment of a reassembled PDU]"
32846,46.393722652,128.135.11.239,192.168.0.100,TCP,1594,3060354201.0,1535537520.0,1853.0,14885.0,443  >  49734 [ACK] Seq=14885 Ack=1853 Win=64128 Len=1448 TSval=80184379 TSecr=3550670641 [TCP segment of a reassembled PDU]
32847,46.39372803,128.135.11.239,192.168.0.100,TCP,1594,3060355649.0,1535537520.0,1853.0,16333.0,"443  >  49734 [PSH, ACK] Seq=16333 Ack=1853 Win=64128 Len=1448 TSval=80184379 TSecr=3550670641 [TCP segment of a reassembled PDU]"
32848,46.393732518,128.135.11.239,192.168.0.100,TCP,154,2039132102.0,2000425228.0,1.0,0.0,"443  >  49735 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=80184379 TSecr=2504988623 WS=128"
32850,46.393761013,128.135.11.239,192.168.0.100,TCP,154,27179967.0,3883439902.0,1.0,0.0,"443  >  49736 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=80184381 TSecr=321979770 WS=128"
32855,46.394061502,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060344065.0,4749.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=4749 Win=129600 Len=0 TSval=3550670643 TSecr=80184379
32856,46.394066306,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060345513.0,6197.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=6197 Win=129600 Len=0 TSval=3550670644 TSecr=80184379
32857,46.39407069,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060346961.0,7645.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=7645 Win=128128 Len=0 TSval=3550670644 TSecr=80184379
32858,46.394074418,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060348409.0,9093.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=9093 Win=126720 Len=0 TSval=3550670644 TSecr=80184379
32866,46.394777631,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060348409.0,9093.0,1853.0,[TCP Window Update] 49734  >  443 [ACK] Seq=1853 Ack=9093 Win=131072 Len=0 TSval=3550670644 TSecr=80184379
32867,46.394782291,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060349857.0,10541.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=10541 Win=129600 Len=0 TSval=3550670644 TSecr=80184379
32868,46.394786541,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060352753.0,13437.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=13437 Win=128128 Len=0 TSval=3550670644 TSecr=80184379
32869,46.394790258,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060352753.0,13437.0,1853.0,[TCP Window Update] 49734  >  443 [ACK] Seq=1853 Ack=13437 Win=131072 Len=0 TSval=3550670644 TSecr=80184379
32871,46.395133119,128.135.11.239,192.168.0.100,TCP,1594,3060357097.0,1535537520.0,1853.0,17781.0,443  >  49734 [ACK] Seq=17781 Ack=1853 Win=64128 Len=1448 TSval=80184383 TSecr=3550670643 [TCP segment of a reassembled PDU]
32875,46.395908001,128.135.11.239,192.168.0.100,TLSv1.3,1594,3060358545.0,1535537520.0,1853.0,19229.0,Application Data
32876,46.395916858,128.135.11.239,192.168.0.100,TCP,1594,3060359993.0,1535537520.0,1853.0,20677.0,443  >  49734 [ACK] Seq=20677 Ack=1853 Win=64128 Len=1448 TSval=80184383 TSecr=3550670644 [TCP segment of a reassembled PDU]
32877,46.395920404,128.135.11.239,192.168.0.100,TCP,1594,3060361441.0,1535537520.0,1853.0,22125.0,443  >  49734 [ACK] Seq=22125 Ack=1853 Win=64128 Len=1448 TSval=80184383 TSecr=3550670644 [TCP segment of a reassembled PDU]
32878,46.395925343,128.135.11.239,192.168.0.100,TCP,1594,3060362889.0,1535537520.0,1853.0,23573.0,443  >  49734 [ACK] Seq=23573 Ack=1853 Win=64128 Len=1448 TSval=80184383 TSecr=3550670644 [TCP segment of a reassembled PDU]
32882,46.39765378,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060357097.0,17781.0,1853.0,49734  >  443 [ACK] Seq=1853 Ack=17781 Win=126720 Len=0 TSval=3550670644 TSecr=80184379
32883,46.397658688,192.168.0.100,128.135.11.239,TCP,146,2000425228.0,2039132103.0,1.0,1.0,49735  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2504988625 TSecr=80184379
32884,46.397662377,192.168.0.100,128.135.11.239,TCP,146,3883439902.0,27179968.0,1.0,1.0,49736  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=321979772 TSecr=80184381
32885,46.397666035,192.168.0.100,128.135.11.239,TCP,146,1535537520.0,3060357097.0,17781.0,1853.0,[TCP Window Update] 49734  >  443 [ACK] Seq=1853 Ack=17781 Win=131072 Len=0 TSval=3550670644 TSecr=80184379
32889,46.398716474,128.135.11.239,192.168.0.100,TCP,1594,3060364337.0,1535537520.0,1853.0,25021.0,443  >  49734 [ACK] Seq=25021 Ack=1853 Win=64128 Len=1448 TSval=80184383 TSecr=3550670644 [TCP segment of a reassembled PDU]
32890,46.39873619,128.135.11.239,192.168.0.100,TCP,1594,3060365785.0,1535537520.0,1853.0,26469.0,443  >  49734 [ACK] Seq=26469 Ack=1853 Win=64128 Len=1448 TSval=80184383 TSecr=3550670644 [TCP segment of a reassembled PDU]
32891,46.398740899,128.135.11.239,192.168.0.100,TCP,1594,3060367233.0,1535537520.0,1853.0,27917.0,"443  >  49734 [PSH, ACK] Seq=27917 Ack=1853 Win=64128 Len=1448 TSval=80184383 TSecr=3550670644 [TCP segment of a reassembled PDU]"
32892,46.39874922,128.135.11.239,192.168.0.100,TCP,1594,3060368681.0,1535537520.0,1853.0,29365.0,443  >  49734 [ACK] Seq=29365 Ack=1853 Win=64128 Len=1448 TSval=80184384 TSecr=3550670644 [TCP segment of a reassembled PDU]
32893,46.398754641,128.135.11.239,192.168.0.100,TCP,1594,3060370129.0,1535537520.0,1853.0,30813.0,443  >  49734 [ACK] Seq=30813 Ack=1853 Win=64128 Len=1448 TSval=80184384 TSecr=3550670644 [TCP segment of a reassembled PDU]
32894,46.398772637,128.135.11.239,192.168.0.100,TCP,1594,3060371577.0,1535537520.0,1853.0,32261.0,443  >  49734 [ACK] Seq=32261 Ack=1853 Win=64128 Len=1448 TSval=80184384 TSecr=3550670644 [TCP segment of a reassembled PDU]
32895,46.398778654,128.135.11.239,192.168.0.100,TCP,1594,3060373025.0,1535537520.0,1853.0,33709.0,443  >  49734 [ACK] Seq=33709 Ack=1853 Win=64128 Len=1448 TSval=80184384 TSecr=3550670644 [TCP segment of a reassembled PDU]
32896,46.398787541,128.135.11.239,192.168.0.100,TLSv1.3,1594,3060374473.0,1535537520.0,1853.0,35157.0,Application Data
